13:53:56 | LOCK_ACQUIRED | sim=0.99
13:53:58 | LOCK_LOST | Target disappeared
13:54:01 | LOCK_ACQUIRED | sim=0.99
13:54:05 | LOCK_LOST | Target disappeared
13:54:08 | LOCK_ACQUIRED | sim=0.99
13:54:08 | LOCK_LOST | Target disappeared
13:54:10 | LOCK_ACQUIRED | sim=0.99
13:54:11 | LOCK_LOST | Target disappeared
13:54:12 | LOCK_ACQUIRED | sim=0.99
13:54:13 | LOCK_LOST | Target disappeared
13:54:16 | LOCK_ACQUIRED | sim=0.98
13:54:17 | LOCK_LOST | Target disappeared
13:54:18 | LOCK_ACQUIRED | sim=0.99
13:54:22 | LOCK_LOST | Target disappeared
13:54:40 | LOCK_ACQUIRED | sim=0.99
13:54:41 | LOCK_LOST | Target disappeared
13:54:41 | LOCK_ACQUIRED | sim=0.99
13:54:42 | LOCK_LOST | Target disappeared
13:54:53 | LOCK_ACQUIRED | sim=0.99
13:54:53 | LOCK_LOST | Target disappeared
13:54:54 | LOCK_ACQUIRED | sim=0.98
13:54:55 | LOCK_LOST | Target disappeared
13:54:56 | LOCK_ACQUIRED | sim=0.99
13:54:58 | LOCK_LOST | Target disappeared
13:55:05 | LOCK_ACQUIRED | sim=0.99
13:55:06 | LOCK_LOST | Target disappeared
13:55:06 | LOCK_ACQUIRED | sim=0.99
13:55:07 | LOCK_LOST | Target disappeared
13:55:10 | LOCK_ACQUIRED | sim=0.98
13:55:11 | LOCK_LOST | Target disappeared
13:55:17 | LOCK_ACQUIRED | sim=0.99
13:55:18 | LOCK_LOST | Target disappeared
13:55:19 | LOCK_ACQUIRED | sim=0.99
13:55:20 | LOCK_LOST | Target disappeared
13:55:20 | LOCK_ACQUIRED | sim=0.99
13:55:21 | LOCK_LOST | Target disappeared
13:55:21 | LOCK_ACQUIRED | sim=0.99
13:55:22 | LOCK_LOST | Target disappeared
13:55:26 | LOCK_ACQUIRED | sim=0.99
13:55:27 | LOCK_LOST | Target disappeared
